initial_mutation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
1.0000,0.1456000000,0.5000427900,0.7490001000,1.1334500000000012,100
0.9000,0.1456000000,0.4951449200,0.7503786700,0.9413500000000002,100
0.8000,0.1422000000,0.4804300000,0.7494573400,1.0754900000000012,100
0.7000,0.1396000000,0.4558880500,0.7505598000,0.9706400000000004,100
0.6000,0.1351000000,0.4214916200,0.7496345900,0.9210700000000007,100
0.5000,0.1301000000,0.3772816400,0.7497404100,0.9119300000000007,100
0.4000,0.1243000000,0.3235615100,0.7494959600,0.8531500000000005,100
0.3000,0.1120000000,0.2599960400,0.7501822700,0.7923900000000006,100
0.2000,0.1027000000,0.1863959100,0.7498009300,0.6613999999999998,100
0.1000,0.0794000000,0.1033631000,0.7500400800,0.5091199999999994,100
0.0000,0.0100000000,0.0000000000,0.0000000000,0.043530744336569435,309
