initial_similarity,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
1.0000,0.0100000000,0.0000000000,0.0000000000,0.043530744336569435,309
0.9000,0.0479000000,0.0956267900,0.1457886150,0.28193999999999986,200
0.8000,0.0686000000,0.1808761700,0.2720436800,0.39907000000000054,200
0.7000,0.0824796748,0.2560401463,0.3891187683,0.6569268292682934,246
0.6000,0.0922666667,0.3212804767,0.4862111800,0.7940566666666663,300
0.5000,0.1047000000,0.3762345100,0.5677305900,0.8203533333333335,300
0.4000,0.1139333333,0.4212741433,0.6340371667,0.9001899999999998,300
0.3500,0.1184000000,0.4398802000,0.6624533400,0.8498300000000004,100
0.3400,0.1229000000,0.4433654800,0.6684437200,0.9818900000000005,100
0.3300,0.1209000000,0.4464225400,0.6722635100,0.9401200000000008,100
0.3200,0.1229000000,0.4501585400,0.6763157600,0.9504800000000005,100
0.3100,0.1232000000,0.4528035500,0.6817996000,0.9698600000000006,100
0.3000,0.1224666667,0.4560941400,0.6868888867,0.9736866666666674,300
0.2000,0.1317391304,0.4806913478,0.7218062367,1.0326811594202892,207
0.1000,0.1384057971,0.4954556329,0.7430236135,1.090009661835748,207
0.0300,0.1436000000,0.4996509300,0.7500703300,1.2027300000000012,100
0.0200,0.1466000000,0.4998430200,0.7496834800,1.1630300000000002,100
0.0100,0.1480000000,0.5000137900,0.7494506600,1.1189000000000007,100
0.0000,0.1474631941,0.4999768357,0.7499222408,1.0966572237960335,706
