initial_similarity,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
1.0000,0.0100000000,0.0000000000,0.0000000000,4.019739999999999,300
0.9000,0.1066000000,0.0954581700,0.1647779600,4.10229,100
0.8000,0.1998000000,0.1808301600,0.3154652300,4.118169999999999,100
0.7000,0.2878000000,0.2560362900,0.4472352900,4.127170000000001,100
0.6000,0.3715000000,0.3212620800,0.5613702400,4.135510000000001,100
0.5000,0.4500000000,0.3762313800,0.6570489000,4.13693,100
0.4000,0.5275000000,0.4211570600,0.7363431100,4.142219999999999,100
0.3000,0.6021000000,0.4559885000,0.7979184000,4.148679999999998,100
0.2000,0.6691000000,0.4808147600,0.8416879600,4.145029999999999,100
0.1000,0.7266000000,0.4954347700,0.8659619900,4.148499999999999,100
0.0000,0.7854109796,0.4999768010,0.8750955153,4.152673469387754,196
