generation,avg(diversity),avg(p.max_fitness),max(p.max_fitness),COUNT(*)
2001,0.3976799167,29.193013888888895,57,144
2000,0.3989397083,29.193013888888895,57,144
1999,0.3942727083,29.193013888888895,57,144
1998,0.4009894444,29.193013888888895,57,144
1997,0.4022023819,29.193013888888895,57,144
1996,0.4015724028,29.193013888888895,57,144
1995,0.4024661042,29.193013888888895,57,144
1994,0.4024901528,29.193013888888895,57,144
1993,0.4044655069,29.193013888888895,57,144
1992,0.4102751528,29.193013888888895,57,144
1991,0.4156826597,29.180541666666677,57,144
1990,0.4078996111,29.180541666666677,57,144
1989,0.4154053819,29.180541666666677,57,144
1988,0.4222399444,29.18047222222223,57,144
1987,0.4230500833,29.180277777777786,57,144
1986,0.4186231389,29.180277777777786,57,144
1985,0.4239760000,29.180277777777786,57,144
1984,0.4201933958,29.180138888888898,57,144
1983,0.4192667917,29.180138888888898,57,144
1982,0.4184284583,29.180138888888898,57,144
1981,0.4170957431,29.180138888888898,57,144
1980,0.4124940972,29.178993055555566,57,144
1979,0.4038580069,29.178993055555566,57,144
1978,0.3978582153,29.178701388888896,57,144
1977,0.3989408264,29.178701388888896,57,144
1976,0.4035153056,29.178437500000012,57,144
1975,0.4065825417,29.178437500000012,57,144
1974,0.4050379722,29.178437500000012,57,144
1973,0.4072571736,29.178437500000012,57,144
1972,0.3972626597,29.178437500000012,57,144
1971,0.4051713264,29.178437500000012,57,144
1970,0.4047552500,29.178437500000012,57,144
1969,0.4113822014,29.178437500000012,57,144
1968,0.4146166736,29.144187500000005,57,144
1967,0.4133897431,29.144131944444453,57,144
1966,0.4074156806,29.144131944444453,57,144
1965,0.4027885347,29.144131944444453,57,144
1964,0.4010185139,29.14411805555556,57,144
1963,0.4060580694,29.14411805555556,57,144
1962,0.4004599444,29.14411805555556,57,144
1961,0.4050616111,29.14411805555556,57,144
1960,0.4059690347,29.14411805555556,57,144
1959,0.4112109583,29.143895833333342,57,144
1958,0.4127426875,29.1437638888889,57,144
1957,0.4112559792,29.1437638888889,57,144
1956,0.4141259514,29.1437638888889,57,144
1955,0.4116959167,29.1437638888889,57,144
1954,0.3980651806,29.1437638888889,57,144
1953,0.4032379583,29.1437638888889,57,144
1952,0.4059526875,29.1437638888889,57,144
1951,0.4088385764,29.143680555555566,57,144
1950,0.4046751042,29.143680555555566,57,144
1949,0.4082358194,29.143680555555566,57,144
1948,0.4078478681,29.143680555555566,57,144
1947,0.4065773542,29.143680555555566,57,144
1946,0.4145130764,29.142861111111117,57,144
1945,0.4152506389,29.142861111111117,57,144
1944,0.4163537569,29.142861111111117,57,144
1943,0.4213734236,29.142861111111117,57,144
