generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
501,0.2902000000,0.4996859300,0.9715116400,43.43,100
500,0.2854000000,0.4996997900,0.9715797700,43.43,100
499,0.2888000000,0.4996875200,0.9716124500,43.42,100
498,0.2863000000,0.4996847600,0.9715424400,43.42,100
497,0.2838000000,0.4996738500,0.9714908400,43.42,100
496,0.2856000000,0.4996871900,0.9716238900,43.4,100
495,0.2861000000,0.4996700300,0.9714747400,43.4,100
494,0.2860000000,0.4996783500,0.9714489100,43.4,100
493,0.2876000000,0.4996701100,0.9715668900,43.4,100
492,0.2889000000,0.4996860200,0.9715601600,43.38,100
491,0.2833000000,0.4996849300,0.9717493500,43.38,100
490,0.2903000000,0.4996609200,0.9714025100,43.38,100
489,0.2816000000,0.4996777000,0.9715757100,43.38,100
488,0.2868000000,0.4996782700,0.9714178400,43.38,100
487,0.2876000000,0.4996685500,0.9715944000,43.38,100
486,0.2857000000,0.4996772800,0.9714397500,43.38,100
485,0.2875000000,0.4996717800,0.9715164200,43.38,100
484,0.2895000000,0.4996708700,0.9717036400,43.38,100
483,0.2855000000,0.4996762100,0.9716702200,43.38,100
482,0.2828000000,0.4996535900,0.9715986900,43.37,100
481,0.2860000000,0.4996833900,0.9716552300,43.37,100
480,0.2861000000,0.4996835000,0.9716983700,43.36,100
479,0.2874000000,0.4996758000,0.9715016600,43.36,100
478,0.2869000000,0.4996761900,0.9714468500,43.36,100
477,0.2847000000,0.4996628500,0.9716238300,43.36,100
476,0.2889000000,0.4996633600,0.9714448700,43.36,100
475,0.2861000000,0.4996736400,0.9714831000,43.36,100
474,0.2884000000,0.4996570600,0.9714593100,43.36,100
473,0.2869000000,0.4996680400,0.9715166100,43.36,100
472,0.2854000000,0.4996713600,0.9715805300,43.36,100
471,0.2854000000,0.4996606900,0.9715679500,43.36,100
470,0.2866000000,0.4996501500,0.9715450500,43.36,100
469,0.2883000000,0.4996563500,0.9716915700,43.36,100
468,0.2876000000,0.4996426800,0.9713146100,43.31,100
467,0.2901000000,0.4996592400,0.9713454200,43.31,100
466,0.2858000000,0.4996563800,0.9715468600,43.3,100
465,0.2873000000,0.4996524700,0.9717665200,43.28,100
464,0.2863000000,0.4996572800,0.9713979200,43.27,100
463,0.2878000000,0.4996446700,0.9715872800,43.27,100
462,0.2886000000,0.4996472600,0.9715608800,43.27,100
461,0.2884000000,0.4996649100,0.9714813100,43.27,100
460,0.2862000000,0.4996497100,0.9715885300,43.27,100
459,0.2873000000,0.4996241500,0.9715875100,43.27,100
458,0.2861000000,0.4996313100,0.9715628700,43.27,100
457,0.2887000000,0.4996432800,0.9714501500,43.27,100
456,0.2887000000,0.4996247000,0.9715490800,43.27,100
455,0.2847000000,0.4996384800,0.9715946700,43.21,100
454,0.2864000000,0.4996354700,0.9716991800,43.21,100
453,0.2863000000,0.4996096200,0.9715961800,43.12,100
452,0.2895000000,0.4996272600,0.9716207800,43.11,100
451,0.2858000000,0.4996306900,0.9715774100,43.11,100
450,0.2861000000,0.4996270000,0.9715647500,43.11,100
449,0.2884000000,0.4996320500,0.9715201600,43.11,100
448,0.2856000000,0.4996315300,0.9716130300,43.11,100
447,0.2892000000,0.4996128000,0.9717279800,43.11,100
446,0.2883000000,0.4996346300,0.9713379600,43.11,100
445,0.2865000000,0.4996188600,0.9716678400,43.11,100
444,0.2849000000,0.4996320000,0.9716536900,43.11,100
443,0.2848000000,0.4996362200,0.9714501800,43.1,100
442,0.2867000000,0.4996320400,0.9714941600,43.06,100
441,0.2858000000,0.4996266800,0.9714648900,43.06,100
