generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.4110144928,0.4998117971,0.7308798261,8.229623188405796,69
2000,0.4155072464,0.4998444493,0.7308255072,8.229623188405796,69
1999,0.4128985507,0.4998432174,0.7292482609,8.229623188405796,69
1998,0.4194202899,0.4998179565,0.7320595652,8.229623188405796,69
1997,0.4127536232,0.4998819275,0.7311624638,8.229623188405796,69
1996,0.4124637681,0.4998180870,0.7292636957,8.171144927536231,69
1995,0.4152173913,0.4998585652,0.7308115072,8.171144927536231,69
1994,0.4171014493,0.4998126667,0.7303456957,8.171144927536231,69
1993,0.4131884058,0.4998074928,0.7298488696,8.171144927536231,69
1992,0.4136231884,0.4997935507,0.7291086667,8.171144927536231,69
1991,0.4130434783,0.4998666232,0.7301952754,8.171144927536231,69
1990,0.4153623188,0.4998490000,0.7289830145,8.171144927536231,69
1989,0.4114492754,0.4998098406,0.7309100435,8.171144927536231,69
1988,0.4147826087,0.4999026377,0.7320034783,8.171144927536231,69
1987,0.4142028986,0.4998364783,0.7300571159,8.171144927536231,69
1986,0.4091304348,0.4998532319,0.7291730000,8.171144927536231,69
1985,0.4152173913,0.4998222609,0.7312150000,8.171144927536231,69
1984,0.4121739130,0.4998377536,0.7296499710,8.171144927536231,69
1983,0.4156521739,0.4998508406,0.7294492899,8.171144927536231,69
1982,0.4194202899,0.4999019565,0.7319416087,8.171144927536231,69
1981,0.4128985507,0.4998432754,0.7327855942,8.171144927536231,69
1980,0.4146376812,0.4997603333,0.7311408841,8.171144927536231,69
1979,0.4081159420,0.4998529130,0.7316791739,8.093927536231885,69
1978,0.4102898551,0.4998420000,0.7298592754,8.093927536231885,69
1977,0.4133333333,0.4998449275,0.7292678116,8.093927536231885,69
1976,0.4137681159,0.4997875652,0.7302849565,8.093927536231885,69
1975,0.4124637681,0.4998682754,0.7281547101,8.093927536231885,69
1974,0.4127536232,0.4998040725,0.7290226957,8.093927536231885,69
1973,0.4121739130,0.4998217681,0.7281286812,8.093927536231885,69
1972,0.4146376812,0.4997920580,0.7295870580,8.093927536231885,69
1971,0.4111594203,0.4997923913,0.7277171159,8.093927536231885,69
1970,0.4163768116,0.4998380435,0.7296342464,8.093927536231885,69
1969,0.4131884058,0.4998087246,0.7291122029,8.093927536231885,69
1968,0.4101449275,0.4998387681,0.7290615507,8.093927536231885,69
1967,0.4121739130,0.4998575652,0.7304840725,8.093927536231885,69
1966,0.4120289855,0.4998782899,0.7310848261,8.093927536231885,69
1965,0.4152173913,0.4998517971,0.7303144348,8.093927536231885,69
1964,0.4137681159,0.4999305072,0.7298497681,8.093927536231885,69
1963,0.4179710145,0.4998289420,0.7295714203,8.093927536231885,69
1962,0.4121739130,0.4997976667,0.7303317971,8.093927536231885,69
1961,0.4130434783,0.4998833623,0.7304621304,8.093927536231885,69
1960,0.4150724638,0.4998561449,0.7296050000,8.093927536231885,69
1959,0.4117391304,0.4997905652,0.7300720870,8.093927536231885,69
1958,0.4118840580,0.4997746377,0.7301234058,8.093927536231885,69
1957,0.4143478261,0.4998045507,0.7315496087,8.093927536231885,69
1956,0.4131884058,0.4998675217,0.7298113188,8.093927536231885,69
1955,0.4114492754,0.4997830580,0.7297345507,8.093927536231885,69
1954,0.4089855072,0.4998675652,0.7302583768,8.03395652173913,69
