generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.7134782609,0.5000223913,0.8327828261,4.249260869565218,23
2000,0.7082608696,0.5000146087,0.8253229130,4.249260869565218,23
1999,0.7208695652,0.4999960000,0.8290943043,4.249260869565218,23
1998,0.7069565217,0.4999993043,0.8288664783,4.249260869565218,23
1997,0.7134782609,0.4999783913,0.8299426522,4.249260869565218,23
1996,0.7130434783,0.5000070000,0.8291130870,4.249260869565218,23
1995,0.7178260870,0.4999837391,0.8301915217,4.249260869565218,23
1994,0.7117391304,0.4999981304,0.8307747826,4.249260869565218,23
1993,0.7104347826,0.4999926522,0.8322205652,4.249260869565218,23
1992,0.7113043478,0.4999893913,0.8314315652,4.249260869565218,23
1991,0.7139130435,0.4999750435,0.8309155652,4.249260869565218,23
1990,0.7065217391,0.4999938261,0.8283563043,4.249260869565218,23
1989,0.6991304348,0.4999842174,0.8316058261,4.249260869565218,23
1988,0.7100000000,0.4999930435,0.8291006522,4.249260869565218,23
1987,0.7091304348,0.4999844348,0.8315922174,4.249260869565218,23
1986,0.7065217391,0.5000294348,0.8305154348,4.249260869565218,23
1985,0.7100000000,0.4999647826,0.8298676522,4.249260869565218,23
1984,0.7121739130,0.5000181304,0.8275503913,4.249260869565218,23
1983,0.7004347826,0.5000087826,0.8270327826,4.249260869565218,23
1982,0.7086956522,0.4999723478,0.8319289565,4.249260869565218,23
1981,0.7117391304,0.4999702609,0.8279497826,4.249260869565218,23
1980,0.7126086957,0.4999507826,0.8313248696,4.249260869565218,23
1979,0.7073913043,0.4999829565,0.8283616087,4.249260869565218,23
1978,0.7086956522,0.4999704348,0.8309528261,4.249260869565218,23
1977,0.7143478261,0.4999569565,0.8289500435,4.249260869565218,23
1976,0.7100000000,0.4999719130,0.8270633913,4.249260869565218,23
1975,0.7078260870,0.4999738261,0.8302164348,4.249260869565218,23
1974,0.7100000000,0.4999846957,0.8272510435,4.249260869565218,23
1973,0.7078260870,0.5000270435,0.8281884348,4.249260869565218,23
1972,0.7152173913,0.4999949565,0.8325206522,4.249260869565218,23
