generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
501,0.1680000000,0.1711276700,0.4833206900,75.24,100
500,0.1672000000,0.1697772100,0.4772556700,75.23,100
499,0.1661000000,0.1689177700,0.4741131200,75.17,100
498,0.1666000000,0.1631506900,0.4616470800,75.17,100
497,0.1657000000,0.1645477600,0.4646535600,75.17,100
496,0.1631000000,0.1687857600,0.4747838600,75.15,100
495,0.1636000000,0.1698557400,0.4737410200,75.1,100
494,0.1631000000,0.1682898900,0.4673854200,75.1,100
493,0.1618000000,0.1654550700,0.4656466400,75.07,100
492,0.1631000000,0.1651810900,0.4625148500,75.02,100
491,0.1604000000,0.1603910700,0.4537888200,75.02,100
490,0.1626000000,0.1538854200,0.4410866600,75.02,100
489,0.1617000000,0.1543839500,0.4431895300,75.02,100
488,0.1620000000,0.1568152900,0.4498592300,75,100
487,0.1619000000,0.1561109300,0.4515807900,75,100
486,0.1648000000,0.1565240100,0.4557793500,74.99,100
485,0.1640000000,0.1579478100,0.4581425900,74.99,100
484,0.1635000000,0.1629400300,0.4659584900,74.95,100
483,0.1630000000,0.1631461800,0.4658202000,74.95,100
482,0.1620000000,0.1607892600,0.4604909200,74.94,100
481,0.1621000000,0.1668164900,0.4749633400,74.93,100
480,0.1612000000,0.1626434400,0.4682337300,74.9,100
479,0.1611000000,0.1678455000,0.4786600400,74.9,100
478,0.1622000000,0.1669216300,0.4730851400,74.89,100
477,0.1626000000,0.1590575800,0.4572061800,74.88,100
476,0.1606000000,0.1659431700,0.4692532100,74.88,100
475,0.1593000000,0.1671198100,0.4696105400,74.88,100
474,0.1591000000,0.1618214600,0.4553773900,74.88,100
473,0.1598000000,0.1557335000,0.4428556900,74.86,100
472,0.1597000000,0.1583373800,0.4517943200,74.85,100
471,0.1589000000,0.1577548100,0.4483588300,74.84,100
470,0.1619000000,0.1568440200,0.4467404700,74.82,100
469,0.1624000000,0.1600466300,0.4542300800,74.81,100
468,0.1636000000,0.1632027400,0.4611690400,74.81,100
467,0.1629000000,0.1689858800,0.4719898000,74.81,100
466,0.1651000000,0.1612598100,0.4564951300,74.76,100
465,0.1652000000,0.1699528300,0.4771353100,74.71,100
464,0.1642000000,0.1727844300,0.4795466200,74.7,100
463,0.1649000000,0.1682270700,0.4740934700,74.69,100
462,0.1643000000,0.1737211100,0.4834746700,74.69,100
461,0.1612000000,0.1757185200,0.4863049700,74.69,100
460,0.1627000000,0.1670555400,0.4692387300,74.66,100
459,0.1643000000,0.1590332700,0.4512584700,74.64,100
458,0.1618000000,0.1649260400,0.4675069300,74.63,100
457,0.1641000000,0.1675784600,0.4704464600,74.62,100
456,0.1630000000,0.1618968100,0.4594750300,74.61,100
455,0.1644000000,0.1709714600,0.4782002700,74.59,100
454,0.1646000000,0.1635395500,0.4641908000,74.59,100
453,0.1649000000,0.1680458800,0.4765210800,74.58,100
452,0.1645000000,0.1683913600,0.4740660100,74.53,100
451,0.1601000000,0.1719783100,0.4778435900,74.53,100
450,0.1622000000,0.1662969300,0.4619754200,74.51,100
449,0.1662000000,0.1539571000,0.4398490800,74.51,100
448,0.1668000000,0.1588994700,0.4542658500,74.5,100
447,0.1678000000,0.1678292400,0.4705679100,74.5,100
446,0.1638000000,0.1707177900,0.4753350500,74.44,100
445,0.1644000000,0.1662348900,0.4667711700,74.43,100
