generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.1509000000,0.2219009100,0.4119969100,27.955219999999986,100
2000,0.1503000000,0.2238022200,0.4138946900,27.955219999999986,100
1999,0.1495000000,0.2245977800,0.4159607300,27.955219999999986,100
1998,0.1506000000,0.2226239100,0.4147979000,27.955219999999986,100
1997,0.1487000000,0.2260829700,0.4178636800,27.955219999999986,100
1996,0.1503000000,0.2225916800,0.4136890600,27.955219999999986,100
1995,0.1502000000,0.2264021900,0.4181494200,27.955219999999986,100
1994,0.1511000000,0.2268142500,0.4165293000,27.894059999999985,100
1993,0.1493000000,0.2286166600,0.4220192500,27.87370999999999,100
1992,0.1514000000,0.2268616400,0.4178274200,27.87370999999999,100
1991,0.1482000000,0.2327535900,0.4271658700,27.87370999999999,100
1990,0.1463000000,0.2350152700,0.4294902800,27.87370999999999,100
1989,0.1538000000,0.2244400300,0.4128879000,27.863699999999984,100
1988,0.1517000000,0.2289719100,0.4183117600,27.863699999999984,100
1987,0.1472000000,0.2328518400,0.4239328300,27.853479999999987,100
1986,0.1454000000,0.2372905900,0.4306843200,27.853479999999987,100
1985,0.1519000000,0.2251433700,0.4153247300,27.853479999999987,100
1984,0.1527000000,0.2180522100,0.4031896900,27.853199999999987,100
1983,0.1485000000,0.2268916500,0.4153157800,27.853199999999987,100
1982,0.1485000000,0.2300660300,0.4176812100,27.853199999999987,100
1981,0.1487000000,0.2259160200,0.4143379400,27.853199999999987,100
1980,0.1491000000,0.2291103300,0.4177767800,27.853199999999987,100
1979,0.1536000000,0.2224719000,0.4088258100,27.853199999999987,100
1978,0.1556000000,0.2214112700,0.4057502800,27.853199999999987,100
1977,0.1556000000,0.2234059600,0.4097170100,27.853199999999987,100
1976,0.1502000000,0.2319081600,0.4206838300,27.84308999999999,100
1975,0.1517000000,0.2274475600,0.4142803500,27.84308999999999,100
1974,0.1494000000,0.2265682200,0.4135862800,27.84308999999999,100
1973,0.1493000000,0.2271707200,0.4164280200,27.84308999999999,100
1972,0.1486000000,0.2299308700,0.4161475900,27.84308999999999,100
1971,0.1494000000,0.2303570800,0.4170154600,27.84308999999999,100
1970,0.1489000000,0.2291892400,0.4168979200,27.84308999999999,100
1969,0.1547000000,0.2250814900,0.4105424700,27.84252999999999,100
1968,0.1537000000,0.2238712700,0.4101454600,27.84252999999999,100
1967,0.1570000000,0.2205888700,0.4035935500,27.84252999999999,100
1966,0.1558000000,0.2236667500,0.4060186300,27.83286999999999,100
1965,0.1551000000,0.2238693300,0.4068047300,27.83286999999999,100
1964,0.1519000000,0.2268096400,0.4119676200,27.83286999999999,100
1963,0.1485000000,0.2291467300,0.4126847100,27.83286999999999,100
1962,0.1482000000,0.2277324100,0.4115682100,27.83208999999999,100
1961,0.1488000000,0.2243659800,0.4075215600,27.83208999999999,100
1960,0.1489000000,0.2234442600,0.4062580700,27.83208999999999,100
1959,0.1503000000,0.2227841600,0.4079589100,27.83208999999999,100
1958,0.1473000000,0.2282787500,0.4144359600,27.83208999999999,100
1957,0.1507000000,0.2264336500,0.4095492100,27.83208999999999,100
1956,0.1498000000,0.2243327500,0.4065982900,27.83208999999999,100
1955,0.1497000000,0.2223794000,0.4059089900,27.83208999999999,100
1954,0.1512000000,0.2232302200,0.4070058100,27.83188999999999,100
1953,0.1512000000,0.2244261400,0.4100376900,27.83188999999999,100
1952,0.1518000000,0.2254778900,0.4130320200,27.83188999999999,100
1951,0.1487000000,0.2302856800,0.4197853000,27.83188999999999,100
1950,0.1487000000,0.2372849100,0.4293529200,27.83188999999999,100
1949,0.1466000000,0.2394851600,0.4304166200,27.83188999999999,100
1948,0.1499000000,0.2323642900,0.4213365600,27.83188999999999,100
1947,0.1494000000,0.2297425800,0.4174579700,27.83188999999999,100
1946,0.1512000000,0.2293735200,0.4179502400,27.81174999999999,100
1945,0.1503000000,0.2276384000,0.4146966400,27.81174999999999,100
1944,0.1522000000,0.2234880900,0.4088981100,27.81174999999999,100
1943,0.1529000000,0.2210921500,0.4062425300,27.771449999999987,100
1942,0.1541000000,0.2246784100,0.4129752400,27.771449999999987,100
1941,0.1517000000,0.2288784000,0.4171428900,27.771449999999987,100
1940,0.1527000000,0.2260313300,0.4118550200,27.771449999999987,100
1939,0.1506000000,0.2305730300,0.4209052700,27.771449999999987,100
1938,0.1555000000,0.2249794000,0.4149408400,27.771349999999988,100
1937,0.1529000000,0.2267857800,0.4171331700,27.771149999999988,100
1936,0.1519000000,0.2239457200,0.4155978000,27.771149999999988,100
1935,0.1517000000,0.2240045100,0.4150380400,27.771149999999988,100
1934,0.1467000000,0.2304814400,0.4224931800,27.771149999999988,100
1933,0.1489000000,0.2221793400,0.4113141300,27.771149999999988,100
1932,0.1486000000,0.2228384200,0.4117892800,27.771149999999988,100
1931,0.1498000000,0.2188002300,0.4061428100,27.771149999999988,100
1930,0.1548000000,0.2131049700,0.3973852300,27.771149999999988,100
1929,0.1518000000,0.2198175300,0.4059671200,27.771149999999988,100
1928,0.1535000000,0.2197322400,0.4032160100,27.771149999999988,100
1927,0.1512000000,0.2261270400,0.4127241600,27.771149999999988,100
1926,0.1513000000,0.2260035800,0.4122673800,27.771149999999988,100
1925,0.1493000000,0.2290034800,0.4186379200,27.771149999999988,100
1924,0.1447000000,0.2323412500,0.4223913800,27.771149999999988,100
1923,0.1451000000,0.2378303300,0.4297198500,27.771149999999988,100
1922,0.1459000000,0.2358541400,0.4258421100,27.771149999999988,100
1921,0.1513000000,0.2295243700,0.4180256900,27.771149999999988,100
1920,0.1518000000,0.2316483300,0.4206198900,27.771149999999988,100
1919,0.1494000000,0.2301687400,0.4184324100,27.760119999999986,100
1918,0.1443000000,0.2330244400,0.4210635900,27.759839999999986,100
1917,0.1447000000,0.2308720400,0.4172490600,27.759539999999983,100
1916,0.1479000000,0.2265083300,0.4108155200,27.759539999999983,100
1915,0.1509000000,0.2211391900,0.4048003800,27.759539999999983,100
1914,0.1513000000,0.2170624200,0.3986519700,27.750009999999985,100
1913,0.1493000000,0.2206284200,0.4048368100,27.750009999999985,100
1912,0.1511000000,0.2204742100,0.4026166200,27.749699999999983,100
1911,0.1481000000,0.2238955200,0.4088133200,27.749699999999983,100
1910,0.1479000000,0.2210840400,0.4073721800,27.749679999999984,100
1909,0.1516000000,0.2163693700,0.4010444100,27.749679999999984,100
1908,0.1530000000,0.2147003800,0.3980144700,27.749679999999984,100
1907,0.1540000000,0.2180497900,0.4037990600,27.749679999999984,100
1906,0.1502000000,0.2249215300,0.4130976500,27.749679999999984,100
1905,0.1489000000,0.2281807200,0.4150954100,27.749679999999984,100
1904,0.1514000000,0.2237014300,0.4074040300,27.749619999999986,100
1903,0.1506000000,0.2232356800,0.4071099300,27.749619999999986,100
1902,0.1537000000,0.2220768000,0.4058342600,27.749619999999986,100
1901,0.1552000000,0.2218639700,0.4051968700,27.749059999999986,100
1900,0.1557000000,0.2216818900,0.4070635200,27.749059999999986,100
1899,0.1522000000,0.2249772400,0.4165192700,27.749059999999986,100
1898,0.1492000000,0.2298847900,0.4194253600,27.748689999999982,100
1897,0.1483000000,0.2358016100,0.4282684000,27.748689999999982,100
1896,0.1470000000,0.2337427700,0.4237755500,27.738689999999984,100
1895,0.1500000000,0.2261851600,0.4117635500,27.738689999999984,100
1894,0.1501000000,0.2240360900,0.4102798900,27.738689999999984,100
1893,0.1496000000,0.2272686500,0.4138181900,27.717609999999983,100
1892,0.1500000000,0.2263183600,0.4137745500,27.717609999999983,100
1891,0.1487000000,0.2252749400,0.4140718100,27.717609999999983,100
1890,0.1427000000,0.2312282700,0.4210012600,27.717609999999983,100
1889,0.1462000000,0.2273065100,0.4153847000,27.717609999999983,100
1888,0.1434000000,0.2223391800,0.4078138200,27.717609999999983,100
1887,0.1493000000,0.2128051600,0.3955601300,27.717489999999984,100
1886,0.1518000000,0.2131740100,0.3959416400,27.717189999999988,100
1885,0.1478000000,0.2194016600,0.4041186500,27.717189999999988,100
1884,0.1508000000,0.2176020100,0.4039993100,27.63852999999999,100
1883,0.1470000000,0.2201843200,0.4063452700,27.63852999999999,100
1882,0.1481000000,0.2206367100,0.4080571500,27.63852999999999,100
1881,0.1468000000,0.2242136600,0.4128147600,27.619339999999983,100
1880,0.1481000000,0.2245710400,0.4114072200,27.619339999999983,100
1879,0.1477000000,0.2261229400,0.4152922200,27.619279999999986,100
1878,0.1462000000,0.2284526700,0.4186413200,27.619279999999986,100
1877,0.1526000000,0.2180023400,0.4055399400,27.619279999999986,100
1876,0.1533000000,0.2169716000,0.4045659900,27.619279999999986,100
1875,0.1534000000,0.2184966900,0.4068113200,27.619279999999986,100
1874,0.1512000000,0.2245138000,0.4164661900,27.58832999999998,100
1873,0.1529000000,0.2247106100,0.4165034900,27.58832999999998,100
1872,0.1495000000,0.2295583100,0.4235335000,27.518109999999982,100
1871,0.1494000000,0.2289235500,0.4224393400,27.518109999999982,100
1870,0.1495000000,0.2293717300,0.4216836800,27.518109999999982,100
1869,0.1518000000,0.2278279100,0.4168922700,27.518109999999982,100
