generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.3482142857,0.1927237143,0.4305377500,4.6315,28
2000,0.3489285714,0.1952230357,0.4331711429,4.631392857142857,28
1999,0.3553571429,0.1978176071,0.4416327857,4.631392857142857,28
1998,0.3628571429,0.2126191786,0.4639751071,4.6313571428571425,28
1997,0.3667857143,0.2176540000,0.4721706429,4.631285714285714,28
1996,0.3621428571,0.2147298571,0.4638469643,4.631285714285714,28
1995,0.3464285714,0.1821100357,0.4203638214,4.631285714285714,28
1994,0.3478571429,0.1867587143,0.4294816786,4.631285714285714,28
1993,0.3585714286,0.2007428214,0.4499648929,4.631285714285714,28
1992,0.3596428571,0.2048106429,0.4562881429,4.631285714285714,28
1991,0.3582142857,0.2017591786,0.4480236429,4.631285714285714,28
1990,0.3710714286,0.2067332143,0.4570933929,4.631285714285714,28
1989,0.3721428571,0.2132110714,0.4671807857,4.631285714285714,28
1988,0.3796428571,0.2208192857,0.4756455714,4.631285714285714,28
1987,0.3867857143,0.2295249286,0.4880967500,4.631285714285714,28
1986,0.3896428571,0.2284442857,0.4825210357,4.6312500000000005,28
1985,0.3871428571,0.2379460000,0.4959651429,4.6312500000000005,28
1984,0.3853571429,0.2353377500,0.4899093214,4.631214285714286,28
1983,0.3696428571,0.2194618571,0.4687002143,4.631214285714286,28
1982,0.3575000000,0.2065355000,0.4449533571,4.631214285714286,28
1981,0.3442857143,0.1820966429,0.4132673214,4.631178571428571,28
1980,0.3528571429,0.1978056429,0.4349470357,4.631178571428571,28
1979,0.3514285714,0.2046461071,0.4474006429,4.631178571428571,28
1978,0.3553571429,0.2074234286,0.4507610357,4.631178571428571,28
1977,0.3592857143,0.2131501786,0.4589006429,4.631178571428571,28
1976,0.3575000000,0.2187093214,0.4658952500,4.631142857142857,28
1975,0.3485714286,0.2030156429,0.4474550357,4.631142857142857,28
1974,0.3585714286,0.2067399286,0.4530793571,4.631107142857142,28
