generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.0100000000,0.0073452700,0.0202990200,10.45435,100
2000,0.0100000000,0.0073452700,0.0201575600,10.45435,100
1999,0.0100000000,0.0073452700,0.0206733500,10.45435,100
1998,0.0100000000,0.0073452700,0.0216938600,10.45435,100
1997,0.0100000000,0.0073452700,0.0198633200,10.45435,100
1996,0.0100000000,0.0073452700,0.0201771800,10.45435,100
1995,0.0100000000,0.0073452700,0.0211322200,10.45435,100
1994,0.0100000000,0.0073452700,0.0209374800,10.45435,100
1993,0.0100000000,0.0073452700,0.0194381100,10.45435,100
1992,0.0100000000,0.0073452700,0.0204808200,10.45435,100
1991,0.0100000000,0.0073452700,0.0200823400,10.45435,100
1990,0.0100000000,0.0073452700,0.0205484800,10.45435,100
1989,0.0100000000,0.0073452700,0.0213954000,10.45435,100
1988,0.0100000000,0.0073452700,0.0206761200,10.45435,100
1987,0.0100000000,0.0073452700,0.0206081900,10.45435,100
1986,0.0100000000,0.0073452700,0.0195664300,10.45435,100
1985,0.0100000000,0.0073452700,0.0206404500,10.45435,100
1984,0.0100000000,0.0073452700,0.0204617600,10.45435,100
1983,0.0100000000,0.0073452700,0.0210556500,10.45435,100
1982,0.0100000000,0.0073452700,0.0207951600,10.45435,100
1981,0.0100000000,0.0073452700,0.0217007600,10.45435,100
1980,0.0100000000,0.0073452700,0.0200228700,10.45435,100
1979,0.0100000000,0.0073452700,0.0216626500,10.45435,100
1978,0.0100000000,0.0073452700,0.0208789800,10.45435,100
1977,0.0100000000,0.0073452700,0.0208831700,10.45435,100
1976,0.0100000000,0.0073452700,0.0208870900,10.45435,100
1975,0.0100000000,0.0073452700,0.0205398900,10.45435,100
1974,0.0100000000,0.0073452700,0.0209628900,10.45435,100
1973,0.0100000000,0.0073452700,0.0204200300,10.45435,100
1972,0.0100000000,0.0073452700,0.0208841400,10.45435,100
1971,0.0100000000,0.0073452700,0.0209847800,10.45435,100
1970,0.0100000000,0.0073452700,0.0206440900,10.45435,100
1969,0.0100000000,0.0073452700,0.0208440100,10.45435,100
1968,0.0100000000,0.0073452700,0.0203123600,10.45435,100
1967,0.0100000000,0.0073452700,0.0203505200,10.45435,100
1966,0.0100000000,0.0073452700,0.0195752700,10.45435,100
1965,0.0100000000,0.0073452700,0.0197203200,10.45435,100
1964,0.0100000000,0.0073452700,0.0210744000,10.45435,100
1963,0.0100000000,0.0073452700,0.0199584800,10.45435,100
1962,0.0100000000,0.0073452700,0.0197771600,10.45435,100
1961,0.0100000000,0.0073452700,0.0201219500,10.45435,100
1960,0.0100000000,0.0073452700,0.0202019300,10.45435,100
1959,0.0100000000,0.0073452700,0.0197973800,10.45435,100
1958,0.0100000000,0.0073452700,0.0201755400,10.45435,100
1957,0.0100000000,0.0073452700,0.0208791600,10.45435,100
1956,0.0100000000,0.0073452700,0.0200226500,10.45435,100
1955,0.0100000000,0.0073452700,0.0199298900,10.45435,100
1954,0.0100000000,0.0073452700,0.0200590900,10.45435,100
1953,0.0100000000,0.0073452700,0.0201744400,10.45435,100
1952,0.0100000000,0.0073452700,0.0199591500,10.45435,100
1951,0.0100000000,0.0073452700,0.0215452500,10.45435,100
1950,0.0100000000,0.0073452700,0.0199337600,10.45435,100
