generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.0100000000,0.0002661724,0.0000068966,4.563689655172414,29
2000,0.0100000000,0.0002661724,0.0000275862,4.563689655172414,29
1999,0.0100000000,0.0002661724,0.0000823448,4.563689655172414,29
1998,0.0100000000,0.0002661724,0.0000551724,4.563689655172414,29
1997,0.0103448276,0.0002692069,0.0000000000,4.563689655172414,29
1996,0.0103448276,0.0002683448,0.0000000000,4.563689655172414,29
1995,0.0103448276,0.0002656552,0.0000202759,4.563689655172414,29
1994,0.0103448276,0.0002641379,0.0000000000,4.563689655172414,29
1993,0.0103448276,0.0002626897,0.0000392759,4.563689655172414,29
1992,0.0103448276,0.0002625172,0.0000068966,4.563689655172414,29
1991,0.0103448276,0.0002618966,0.0000000000,4.563689655172414,29
1990,0.0103448276,0.0002616207,0.0000136552,4.563689655172414,29
1989,0.0103448276,0.0002616207,0.0000000000,4.563689655172414,29
1988,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1987,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1986,0.0100000000,0.0002613103,0.0000136552,4.563655172413793,29
1985,0.0100000000,0.0002613103,0.0000512759,4.563655172413793,29
1984,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1983,0.0100000000,0.0002613103,0.0000202759,4.563655172413793,29
1982,0.0100000000,0.0002613103,0.0001135517,4.563655172413793,29
1981,0.0100000000,0.0002613103,0.0000137931,4.563655172413793,29
1980,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1979,0.0100000000,0.0002613103,0.0000202759,4.563655172413793,29
1978,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1977,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1976,0.0100000000,0.0002613103,0.0000453448,4.563655172413793,29
1975,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1974,0.0100000000,0.0002613103,0.0000405517,4.563655172413793,29
1973,0.0100000000,0.0002613103,0.0000137931,4.563655172413793,29
1972,0.0100000000,0.0002613103,0.0001347931,4.563655172413793,29
1971,0.0100000000,0.0002613103,0.0000400000,4.563655172413793,29
1970,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1969,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1968,0.0100000000,0.0002613103,0.0000202759,4.563655172413793,29
1967,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1966,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1965,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1964,0.0100000000,0.0002613103,0.0000202759,4.563655172413793,29
1963,0.0100000000,0.0002613103,0.0000202759,4.563655172413793,29
1962,0.0100000000,0.0002613103,0.0000470345,4.563655172413793,29
1961,0.0100000000,0.0002613103,0.0000404138,4.563655172413793,29
1960,0.0100000000,0.0002613103,0.0000336552,4.563655172413793,29
1959,0.0100000000,0.0002613103,0.0000137931,4.563655172413793,29
1958,0.0100000000,0.0002613103,0.0000598621,4.563655172413793,29
1957,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1956,0.0100000000,0.0002613103,0.0000404138,4.563655172413793,29
1955,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1954,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1953,0.0100000000,0.0002613103,0.0000336552,4.563655172413793,29
1952,0.0100000000,0.0002613103,0.0000408276,4.563655172413793,29
1951,0.0100000000,0.0002613103,0.0000137931,4.563655172413793,29
1950,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1949,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1948,0.0100000000,0.0002613103,0.0000206897,4.563655172413793,29
1947,0.0100000000,0.0002613103,0.0000000000,4.563655172413793,29
1946,0.0100000000,0.0002613103,0.0000267586,4.563655172413793,29
1945,0.0100000000,0.0002613103,0.0000453448,4.563655172413793,29
1944,0.0100000000,0.0002613103,0.0000068966,4.563655172413793,29
1943,0.0100000000,0.0002613103,0.0000271724,4.563655172413793,29
1942,0.0100000000,0.0002613103,0.0000331034,4.563655172413793,29
1941,0.0103448276,0.0002653793,0.0000400000,4.563655172413793,29
1940,0.0103448276,0.0002661379,0.0000202759,4.563655172413793,29
1939,0.0103448276,0.0002648621,0.0000202759,4.563655172413793,29
1938,0.0103448276,0.0002634828,0.0000271724,4.563655172413793,29
1937,0.0103448276,0.0002626552,0.0000137931,4.563655172413793,29
1936,0.0103448276,0.0002623793,0.0000068966,4.563655172413793,29
1935,0.0103448276,0.0002621379,0.0000543448,4.563655172413793,29
1934,0.0103448276,0.0002621379,0.0000202759,4.563655172413793,29
1933,0.0103448276,0.0002618621,0.0000470345,4.563655172413793,29
1932,0.0103448276,0.0002618621,0.0000470345,4.563655172413793,29
1931,0.0103448276,0.0002618621,0.0000068966,4.563655172413793,29
1930,0.0100000000,0.0002618621,0.0000340690,4.563620689655172,29
1929,0.0100000000,0.0002618621,0.0000660345,4.563620689655172,29
1928,0.0100000000,0.0002618621,0.0000202759,4.563620689655172,29
1927,0.0103448276,0.0002715862,0.0000000000,4.563620689655172,29
1926,0.0103448276,0.0002754138,0.0000682069,4.563620689655172,29
1925,0.0103448276,0.0002734828,0.0000137931,4.563620689655172,29
1924,0.0103448276,0.0002715517,0.0000000000,4.563620689655172,29
1923,0.0103448276,0.0002703448,0.0000331034,4.563620689655172,29
1922,0.0103448276,0.0002686552,0.0001855862,4.563620689655172,29
1921,0.0103448276,0.0002683103,0.0000271724,4.563620689655172,29
1920,0.0103448276,0.0002683103,0.0001260345,4.563620689655172,29
