generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
501,0.0278000000,0.0215390800,0.0871368000,68.77,100
500,0.0279000000,0.0215275600,0.0853869400,68.77,100
499,0.0281000000,0.0215359700,0.0856744000,68.77,100
498,0.0281000000,0.0215482800,0.0864513800,68.77,100
497,0.0281000000,0.0215563000,0.0856784500,68.77,100
496,0.0282000000,0.0216287600,0.0853659600,68.77,100
495,0.0283000000,0.0216297400,0.0853138000,68.76,100
494,0.0283000000,0.0216180200,0.0849161100,68.75,100
493,0.0284000000,0.0216104600,0.0832464600,68.75,100
492,0.0284000000,0.0216688600,0.0857621800,68.75,100
491,0.0284000000,0.0217299300,0.0874350500,68.75,100
490,0.0284000000,0.0217106000,0.0871476500,68.75,100
489,0.0284000000,0.0217899200,0.0863727700,68.75,100
488,0.0287000000,0.0217958000,0.0842564500,68.75,100
487,0.0287000000,0.0218006500,0.0853661800,68.75,100
486,0.0286000000,0.0218008000,0.0848386400,68.74,100
485,0.0286000000,0.0218036700,0.0875853600,68.74,100
484,0.0288000000,0.0218197100,0.0824580300,68.74,100
483,0.0289000000,0.0218226800,0.0860898600,68.7,100
482,0.0289000000,0.0218366300,0.0853301700,68.69,100
481,0.0289000000,0.0218364600,0.0849996000,68.69,100
480,0.0291000000,0.0218419500,0.0851681000,68.69,100
479,0.0291000000,0.0218561100,0.0843078500,68.69,100
478,0.0290000000,0.0218685200,0.0849697400,68.68,100
477,0.0290000000,0.0218779700,0.0833217800,68.68,100
476,0.0289000000,0.0218831900,0.0872917400,68.66,100
475,0.0292000000,0.0219092400,0.0834659100,68.66,100
474,0.0293000000,0.0219201100,0.0849812900,68.66,100
473,0.0293000000,0.0219456500,0.0868902800,68.66,100
472,0.0293000000,0.0219557500,0.0871020700,68.66,100
471,0.0291000000,0.0219674000,0.0853739600,68.65,100
470,0.0292000000,0.0219841500,0.0861291600,68.65,100
469,0.0292000000,0.0220342900,0.0871413800,68.65,100
468,0.0296000000,0.0220894200,0.0864558200,68.65,100
467,0.0297000000,0.0221038500,0.0847331000,68.65,100
466,0.0297000000,0.0221139800,0.0864033100,68.65,100
465,0.0297000000,0.0222053000,0.0849877400,68.65,100
