generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.0167000000,0.0147693700,0.0265556900,21.474510000000006,100
2000,0.0167000000,0.0147693700,0.0265505300,21.474510000000006,100
1999,0.0167000000,0.0147704800,0.0273006500,21.474510000000006,100
1998,0.0167000000,0.0147704800,0.0256942500,21.474510000000006,100
1997,0.0167000000,0.0147704800,0.0260464400,21.474510000000006,100
1996,0.0167000000,0.0147704800,0.0270769600,21.474510000000006,100
1995,0.0167000000,0.0147704800,0.0277437700,21.474510000000006,100
1994,0.0167000000,0.0147704800,0.0274185100,21.474510000000006,100
1993,0.0167000000,0.0147704800,0.0268690900,21.474510000000006,100
1992,0.0167000000,0.0147704800,0.0266695000,21.474510000000006,100
1991,0.0167000000,0.0148350200,0.0282908300,21.474510000000006,100
1990,0.0167000000,0.0148350200,0.0282628500,21.474510000000006,100
1989,0.0167000000,0.0148350200,0.0264264700,21.474510000000006,100
1988,0.0167000000,0.0148350200,0.0273156700,21.474510000000006,100
1987,0.0167000000,0.0148350200,0.0274382100,21.474510000000006,100
1986,0.0168000000,0.0148371700,0.0273969400,21.474510000000006,100
1985,0.0167000000,0.0149060800,0.0278374200,21.474510000000006,100
1984,0.0167000000,0.0149060800,0.0270119600,21.474510000000006,100
1983,0.0167000000,0.0149060800,0.0271051000,21.474510000000006,100
1982,0.0167000000,0.0149060800,0.0270396400,21.474510000000006,100
1981,0.0167000000,0.0149060800,0.0279952400,21.474510000000006,100
1980,0.0167000000,0.0149060800,0.0270914600,21.474510000000006,100
1979,0.0167000000,0.0149668400,0.0277654200,21.474510000000006,100
1978,0.0167000000,0.0149668400,0.0266502000,21.474510000000006,100
1977,0.0167000000,0.0149668400,0.0282284900,21.474510000000006,100
1976,0.0167000000,0.0149668400,0.0277399700,21.474510000000006,100
1975,0.0167000000,0.0149773800,0.0267375600,21.474510000000006,100
1974,0.0167000000,0.0149773800,0.0274800000,21.474510000000006,100
1973,0.0168000000,0.0149774600,0.0284575400,21.474510000000006,100
1972,0.0168000000,0.0149782900,0.0284270200,21.474510000000006,100
1971,0.0168000000,0.0149786700,0.0291823700,21.474510000000006,100
1970,0.0168000000,0.0151368300,0.0281306100,21.474510000000006,100
1969,0.0168000000,0.0151377800,0.0298215400,21.474510000000006,100
1968,0.0168000000,0.0151398900,0.0270139900,21.474510000000006,100
1967,0.0169000000,0.0151407300,0.0282179400,21.474510000000006,100
1966,0.0169000000,0.0151407300,0.0284770600,21.474510000000006,100
1965,0.0169000000,0.0151407300,0.0281605500,21.474510000000006,100
1964,0.0169000000,0.0151407300,0.0284555000,21.474510000000006,100
1963,0.0169000000,0.0151407300,0.0292038600,21.474510000000006,100
1962,0.0169000000,0.0151407300,0.0279706100,21.474510000000006,100
1961,0.0169000000,0.0151410900,0.0288811800,21.474510000000006,100
1960,0.0169000000,0.0151410900,0.0282108600,21.474510000000006,100
1959,0.0169000000,0.0151410900,0.0279520500,21.474510000000006,100
1958,0.0169000000,0.0151418100,0.0278779700,21.474510000000006,100
1957,0.0169000000,0.0151418500,0.0289976600,21.474510000000006,100
1956,0.0169000000,0.0151418500,0.0259664500,21.474510000000006,100
1955,0.0169000000,0.0151444900,0.0282434000,21.474510000000006,100
1954,0.0170000000,0.0151354100,0.0278197700,21.474510000000006,100
1953,0.0170000000,0.0151360700,0.0268999000,21.474510000000006,100
1952,0.0170000000,0.0151363700,0.0279714700,21.474510000000006,100
1951,0.0170000000,0.0151373700,0.0279220700,21.474510000000006,100
1950,0.0170000000,0.0151395600,0.0289063300,21.474510000000006,100
1949,0.0170000000,0.0151394900,0.0275653600,21.474510000000006,100
1948,0.0170000000,0.0151392400,0.0266337500,21.474510000000006,100
1947,0.0170000000,0.0151412200,0.0271284200,21.474510000000006,100
1946,0.0170000000,0.0151430800,0.0279095800,21.474510000000006,100
1945,0.0170000000,0.0151445900,0.0289926200,21.474510000000006,100
1944,0.0170000000,0.0151450300,0.0283865500,21.474510000000006,100
1943,0.0170000000,0.0151487000,0.0289799000,21.474510000000006,100
1942,0.0170000000,0.0151512400,0.0271291200,21.474510000000006,100
1941,0.0170000000,0.0151545200,0.0296376200,21.474510000000006,100
1940,0.0170000000,0.0151554100,0.0281303900,21.474510000000006,100
1939,0.0170000000,0.0151565700,0.0277108300,21.474510000000006,100
