generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.0154545455,0.0006159091,0.0001272727,4.615181818181818,11
2000,0.0154545455,0.0006159091,0.0000181818,4.615181818181818,11
1999,0.0154545455,0.0006172727,0.0000898182,4.615181818181818,11
1998,0.0154545455,0.0006172727,0.0002170909,4.615181818181818,11
1997,0.0154545455,0.0006172727,0.0001432727,4.615181818181818,11
1996,0.0154545455,0.0006172727,0.0001272727,4.615181818181818,11
1995,0.0154545455,0.0006172727,0.0000716364,4.615181818181818,11
1994,0.0154545455,0.0006172727,0.0001272727,4.615181818181818,11
1993,0.0154545455,0.0006178182,0.0000727273,4.615181818181818,11
1992,0.0154545455,0.0006178182,0.0000727273,4.615181818181818,11
1991,0.0154545455,0.0006178182,0.0000727273,4.615181818181818,11
1990,0.0154545455,0.0006178182,0.0000181818,4.615181818181818,11
1989,0.0154545455,0.0006178182,0.0002330909,4.615181818181818,11
1988,0.0154545455,0.0006178182,0.0000898182,4.615181818181818,11
1987,0.0154545455,0.0006169091,0.0001978182,4.615181818181818,11
1986,0.0154545455,0.0006173636,0.0000363636,4.615181818181818,11
1985,0.0154545455,0.0006173636,0.0000363636,4.615181818181818,11
1984,0.0154545455,0.0006173636,0.0001432727,4.615181818181818,11
1983,0.0154545455,0.0006173636,0.0000545455,4.615181818181818,11
1982,0.0154545455,0.0006173636,0.0001978182,4.615181818181818,11
1981,0.0154545455,0.0006173636,0.0001410909,4.615181818181818,11
1980,0.0154545455,0.0006173636,0.0001610909,4.615181818181818,11
1979,0.0154545455,0.0006173636,0.0001090909,4.615181818181818,11
1978,0.0154545455,0.0006173636,0.0001978182,4.615181818181818,11
1977,0.0154545455,0.0006183636,0.0001740909,4.615181818181818,11
1976,0.0154545455,0.0006183636,0.0000545455,4.615181818181818,11
1975,0.0154545455,0.0006183636,0.0001090909,4.615181818181818,11
1974,0.0154545455,0.0006183636,0.0001261818,4.615181818181818,11
1973,0.0154545455,0.0006183636,0.0004756364,4.615181818181818,11
1972,0.0154545455,0.0006188182,0.0000727273,4.615181818181818,11
1971,0.0154545455,0.0006202727,0.0001272727,4.615181818181818,11
1970,0.0163636364,0.0006207273,0.0002795455,4.615181818181818,11
1969,0.0163636364,0.0006211818,0.0000000000,4.615181818181818,11
1968,0.0163636364,0.0006211818,0.0001621818,4.615181818181818,11
1967,0.0163636364,0.0006211818,0.0000181818,4.615181818181818,11
1966,0.0163636364,0.0006211818,0.0000363636,4.615181818181818,11
1965,0.0163636364,0.0006211818,0.0000363636,4.615181818181818,11
1964,0.0163636364,0.0006211818,0.0004138182,4.615181818181818,11
1963,0.0163636364,0.0006211818,0.0000545455,4.615181818181818,11
1962,0.0163636364,0.0006211818,0.0000887273,4.615181818181818,11
1961,0.0163636364,0.0006220909,0.0001074545,4.615181818181818,11
1960,0.0163636364,0.0006220909,0.0000909091,4.615181818181818,11
1959,0.0163636364,0.0006220909,0.0001432727,4.615181818181818,11
1958,0.0163636364,0.0006220909,0.0000181818,4.615181818181818,11
1957,0.0163636364,0.0006224545,0.0000727273,4.615181818181818,11
1956,0.0163636364,0.0006224545,0.0000905455,4.615181818181818,11
1955,0.0163636364,0.0006232727,0.0000545455,4.615181818181818,11
1954,0.0163636364,0.0006236364,0.0001069091,4.615181818181818,11
1953,0.0163636364,0.0006236364,0.0000545455,4.615181818181818,11
1952,0.0163636364,0.0006236364,0.0001090909,4.615181818181818,11
1951,0.0163636364,0.0006256364,0.0001443636,4.615181818181818,11
1950,0.0163636364,0.0006259091,0.0000727273,4.615181818181818,11
1949,0.0163636364,0.0006259091,0.0003371818,4.615181818181818,11
1948,0.0163636364,0.0006260909,0.0000181818,4.615181818181818,11
1947,0.0163636364,0.0006279091,0.0001636364,4.615181818181818,11
1946,0.0163636364,0.0006281818,0.0001443636,4.615181818181818,11
1945,0.0163636364,0.0006279091,0.0000363636,4.615181818181818,11
1944,0.0163636364,0.0006282727,0.0000727273,4.615181818181818,11
1943,0.0163636364,0.0006288182,0.0005360909,4.615181818181818,11
1942,0.0163636364,0.0006291818,0.0001080000,4.615181818181818,11
1941,0.0163636364,0.0006293636,0.0000181818,4.615181818181818,11
1940,0.0163636364,0.0006265455,0.0001443636,4.615181818181818,11
1939,0.0163636364,0.0006236364,0.0001269091,4.615181818181818,11
1938,0.0163636364,0.0006201818,0.0001427273,4.615181818181818,11
1937,0.0163636364,0.0006184545,0.0000545455,4.615181818181818,11
1936,0.0163636364,0.0006175455,0.0002198182,4.615181818181818,11
1935,0.0163636364,0.0006160909,0.0004231818,4.615181818181818,11
1934,0.0163636364,0.0006155455,0.0000545455,4.615181818181818,11
1933,0.0163636364,0.0006150909,0.0001272727,4.615181818181818,11
1932,0.0154545455,0.0006145455,0.0002327273,4.615090909090909,11
1931,0.0154545455,0.0006145455,0.0001940909,4.615090909090909,11
1930,0.0154545455,0.0006145455,0.0002707273,4.615090909090909,11
1929,0.0154545455,0.0006145455,0.0000909091,4.615090909090909,11
1928,0.0154545455,0.0006150909,0.0002820909,4.615090909090909,11
1927,0.0154545455,0.0006150909,0.0001454545,4.615090909090909,11
1926,0.0154545455,0.0006150909,0.0000909091,4.615090909090909,11
1925,0.0163636364,0.0006165455,0.0001972727,4.615090909090909,11
