initial_similarity,diversity
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
1.0000,0.000000
0.2000,0.733568
0.2000,0.738838
0.2000,0.729788
0.2000,0.727206
0.2000,0.724382
0.2000,0.743321
0.2000,0.726796
0.2000,0.725489
0.2000,0.703952
0.2000,0.709133
0.2000,0.726014
0.2000,0.718024
0.2000,0.736275
0.2000,0.727356
0.2000,0.725616
0.2000,0.737539
0.2000,0.738800
0.2000,0.725741
0.2000,0.692826
0.2000,0.724905
0.2000,0.728897
0.2000,0.719069
0.2000,0.716053
0.2000,0.704756
0.2000,0.715780
0.2000,0.732552
0.2000,0.727220
0.2000,0.740388
0.2000,0.724438
0.2000,0.705414
0.2000,0.719618
0.2000,0.724933
0.2000,0.710915
0.2000,0.734671
0.2000,0.746095
0.2000,0.708816
0.2000,0.719594
0.2000,0.734089
0.2000,0.725933
0.2000,0.720525
0.2000,0.722305
0.2000,0.717162
0.2000,0.722523
0.2000,0.704331
0.2000,0.726382
0.2000,0.717810
0.2000,0.721012
0.2000,0.716883
0.2000,0.707574
0.2000,0.714123
0.2000,0.718438
0.2000,0.715465
0.2000,0.725218
0.2000,0.723824
0.2000,0.714998
0.2000,0.711895
0.2000,0.721826
0.2000,0.731745
0.2000,0.720808
0.2000,0.722685
0.2000,0.736640
0.2000,0.679873
0.2000,0.738909
0.2000,0.698952
0.2000,0.731626
0.2000,0.720075
0.2000,0.705913
0.2000,0.710531
0.2000,0.692883
0.2000,0.734323
0.2000,0.725986
0.2000,0.697976
0.2000,0.729279
0.2000,0.721608
0.2000,0.711331
0.2000,0.739246
0.2000,0.713044
0.2000,0.716772
0.2000,0.694089
0.2000,0.726457
0.2000,0.730865
0.2000,0.732034
0.2000,0.720588
0.2000,0.731489
0.2000,0.721968
0.2000,0.730467
0.2000,0.729483
0.2000,0.711566
0.2000,0.716335
0.2000,0.729471
0.2000,0.731228
0.2000,0.728521
0.2000,0.731099
0.2000,0.709729
0.2000,0.716380
0.2000,0.724477
0.2000,0.717687
0.2000,0.723459
0.2000,0.727204
0.2000,0.714513
0.1000,0.748071
0.1000,0.741780
0.1000,0.737766
0.1000,0.754083
0.1000,0.727574
0.1000,0.742695
0.1000,0.748994
0.1000,0.737509
0.1000,0.745636
0.1000,0.747804
0.1000,0.749267
0.1000,0.727901
0.1000,0.740285
0.1000,0.745604
0.1000,0.748572
0.1000,0.732283
0.1000,0.752081
0.1000,0.740077
0.1000,0.741707
0.1000,0.747770
0.1000,0.740960
0.1000,0.751410
0.1000,0.746778
0.1000,0.739477
0.1000,0.743669
0.1000,0.743861
0.1000,0.751356
0.1000,0.751475
0.1000,0.742418
0.1000,0.743057
0.1000,0.740279
0.1000,0.754657
0.1000,0.742889
0.1000,0.744349
0.1000,0.748784
0.1000,0.741071
0.1000,0.743719
0.1000,0.748909
0.1000,0.735485
0.1000,0.745016
0.1000,0.749030
0.1000,0.746725
0.1000,0.738877
0.1000,0.744505
0.1000,0.745689
0.1000,0.747232
0.1000,0.750002
0.1000,0.739705
0.1000,0.748636
0.1000,0.751309
0.1000,0.741523
0.1000,0.710943
0.1000,0.736735
0.1000,0.747602
0.1000,0.740848
0.1000,0.743624
0.1000,0.748331
0.1000,0.736069
0.1000,0.742634
0.1000,0.748319
0.1000,0.740442
0.1000,0.723210
0.1000,0.736370
0.1000,0.741786
0.1000,0.745467
0.1000,0.739271
0.1000,0.741701
0.1000,0.738190
0.1000,0.744093
0.1000,0.744327
0.1000,0.744337
0.1000,0.741640
0.1000,0.749693
0.1000,0.745545
0.1000,0.741695
0.1000,0.747711
0.1000,0.731339
0.1000,0.747883
0.1000,0.741638
0.1000,0.746927
0.1000,0.746612
0.1000,0.744216
0.1000,0.741923
0.1000,0.744752
0.1000,0.745446
0.1000,0.741301
0.1000,0.751691
0.1000,0.741331
0.1000,0.720160
0.1000,0.742184
0.1000,0.739768
0.1000,0.739424
0.1000,0.746838
0.1000,0.744943
0.1000,0.746695
0.1000,0.745929
0.1000,0.740881
0.1000,0.748212
0.1000,0.750418
0.1000,0.742293
0.5000,0.554208
0.5000,0.625509
0.5000,0.590935
0.5000,0.575651
0.5000,0.550038
0.5000,0.581085
0.5000,0.526966
0.5000,0.516323
0.5000,0.546436
0.5000,0.561004
0.5000,0.580422
0.5000,0.564073
0.5000,0.557695
0.5000,0.581717
0.5000,0.562281
0.5000,0.552933
0.5000,0.569616
0.5000,0.570754
0.5000,0.566303
0.5000,0.600034
0.5000,0.558010
0.5000,0.566356
0.5000,0.556341
0.5000,0.569634
0.5000,0.569778
0.5000,0.575489
0.5000,0.558289
0.5000,0.580436
0.5000,0.562939
0.5000,0.560158
0.5000,0.550541
0.5000,0.602287
0.5000,0.558133
0.5000,0.561689
0.5000,0.538507
0.5000,0.540824
0.5000,0.551523
0.5000,0.565533
0.5000,0.579000
0.5000,0.577887
0.5000,0.574418
0.5000,0.551806
0.5000,0.561248
0.5000,0.543667
0.5000,0.558943
0.5000,0.563770
0.5000,0.550182
0.5000,0.525493
0.5000,0.542794
0.5000,0.569111
0.5000,0.540879
0.5000,0.543246
0.5000,0.582198
0.5000,0.565768
0.5000,0.561190
0.5000,0.566077
0.5000,0.588651
0.5000,0.552182
0.5000,0.582307
0.5000,0.587069
0.5000,0.564962
0.5000,0.584040
0.5000,0.562638
0.5000,0.565174
0.5000,0.563725
0.5000,0.531226
0.5000,0.574956
0.5000,0.551499
0.5000,0.551067
0.5000,0.600479
0.5000,0.630271
0.5000,0.557537
