generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.7326000000,0.4998510600,0.8490029600,4.2948499999999985,100
2000,0.7334000000,0.4997727900,0.8485089900,4.294519999999999,100
1999,0.7314000000,0.4998177300,0.8470609600,4.294519999999999,100
1998,0.7308000000,0.4998142200,0.8489851600,4.294519999999999,100
1997,0.7290000000,0.4998300400,0.8478991100,4.294519999999999,100
1996,0.7301000000,0.4997845800,0.8478476100,4.294519999999999,100
1995,0.7325000000,0.4998055200,0.8485720100,4.294519999999999,100
1994,0.7292000000,0.4997970300,0.8487279400,4.294519999999999,100
1993,0.7290000000,0.4997737800,0.8482133800,4.294519999999999,100
1992,0.7316000000,0.4998142500,0.8469966900,4.294519999999999,100
1991,0.7344000000,0.4998102600,0.8462622000,4.294519999999999,100
1990,0.7314000000,0.4997758900,0.8477143500,4.294519999999999,100
1989,0.7298000000,0.4998744200,0.8486088900,4.294519999999999,100
1988,0.7328000000,0.4998137900,0.8486098300,4.294519999999999,100
1987,0.7315000000,0.4998476600,0.8478150900,4.294519999999999,100
1986,0.7314000000,0.4997955600,0.8487176300,4.294519999999999,100
1985,0.7329000000,0.4998052500,0.8475683000,4.294519999999999,100
1984,0.7337000000,0.4998226300,0.8489656700,4.294419999999999,100
1983,0.7310000000,0.4998248500,0.8488608700,4.294419999999999,100
1982,0.7325000000,0.4998097400,0.8490098000,4.294419999999999,100
1981,0.7339000000,0.4998513600,0.8483498700,4.294419999999999,100
1980,0.7324000000,0.4997941000,0.8475021700,4.294419999999999,100
1979,0.7278000000,0.4998227000,0.8484165200,4.294419999999999,100
1978,0.7344000000,0.4997681000,0.8479884400,4.294419999999999,100
1977,0.7311000000,0.4998177800,0.8493001800,4.294419999999999,100
1976,0.7336000000,0.4998411200,0.8469347400,4.294419999999999,100
1975,0.7318000000,0.4998202600,0.8477019400,4.294419999999999,100
1974,0.7302000000,0.4998421500,0.8485205600,4.294419999999999,100
1973,0.7318000000,0.4998376100,0.8499116600,4.294419999999999,100
1972,0.7333000000,0.4998265300,0.8484969200,4.294419999999999,100
1971,0.7344000000,0.4998197500,0.8480926100,4.294419999999999,100
1970,0.7315000000,0.4998396400,0.8471101600,4.294419999999999,100
1969,0.7309000000,0.4998150000,0.8474210700,4.294419999999999,100
1968,0.7299000000,0.4998190500,0.8474418300,4.294419999999999,100
1967,0.7357000000,0.4998147600,0.8479771500,4.294419999999999,100
1966,0.7310000000,0.4997573200,0.8474628000,4.294419999999999,100
1965,0.7351000000,0.4998306200,0.8480498900,4.294419999999999,100
1964,0.7301000000,0.4998285500,0.8480325900,4.294419999999999,100
1963,0.7307000000,0.4998277900,0.8486316900,4.294419999999999,100
1962,0.7295000000,0.4998334800,0.8476537700,4.294419999999999,100
1961,0.7333000000,0.4998181100,0.8480473700,4.294419999999999,100
1960,0.7280000000,0.4997839900,0.8487560200,4.294419999999999,100
1959,0.7329000000,0.4998353700,0.8475659200,4.294419999999999,100
1958,0.7306000000,0.4998108800,0.8481585600,4.294419999999999,100
1957,0.7342000000,0.4998217900,0.8484396200,4.294419999999999,100
1956,0.7314000000,0.4998228300,0.8484923200,4.294419999999999,100
1955,0.7279000000,0.4998291400,0.8475775800,4.294419999999999,100
1954,0.7336000000,0.4997958000,0.8473627400,4.294419999999999,100
1953,0.7284000000,0.4998289600,0.8480790200,4.294419999999999,100
1952,0.7260000000,0.4998443600,0.8472766200,4.294419999999999,100
1951,0.7306000000,0.4998117000,0.8482168400,4.294419999999999,100
1950,0.7316000000,0.4998154900,0.8477190300,4.294419999999999,100
1949,0.7273000000,0.4998078600,0.8480701500,4.294419999999999,100
1948,0.7299000000,0.4998237100,0.8480800700,4.294419999999999,100
1947,0.7340000000,0.4998090400,0.8477598400,4.294419999999999,100
1946,0.7313000000,0.4998139700,0.8481967300,4.294419999999999,100
1945,0.7322000000,0.4998468400,0.8479997500,4.294419999999999,100
1944,0.7311000000,0.4998152700,0.8470929700,4.294419999999999,100
1943,0.7301000000,0.4998144700,0.8476043800,4.2941899999999995,100
1942,0.7304000000,0.4998305900,0.8477408300,4.2941899999999995,100
1941,0.7353000000,0.4998292900,0.8482264900,4.294069999999999,100
1940,0.7290000000,0.4998150900,0.8481928900,4.294069999999999,100
1939,0.7318000000,0.4998294600,0.8475653200,4.294069999999999,100
1938,0.7329000000,0.4998115500,0.8479752900,4.293789999999999,100
1937,0.7293000000,0.4998616000,0.8479971100,4.293789999999999,100
1936,0.7318000000,0.4998565100,0.8465500700,4.293789999999999,100
1935,0.7313000000,0.4998323400,0.8481958300,4.293789999999999,100
1934,0.7300000000,0.4998232300,0.8478264500,4.293789999999999,100
1933,0.7303000000,0.4998094800,0.8482906300,4.293789999999999,100
1932,0.7305000000,0.4997936100,0.8478518600,4.293789999999999,100
1931,0.7286000000,0.4998355100,0.8463105600,4.2931599999999985,100
