generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
2001,0.0104210526,0.0052748526,0.0136115684,4.69262105263158,95
2000,0.0104210526,0.0052748526,0.0131084105,4.69262105263158,95
1999,0.0104210526,0.0052748526,0.0133015474,4.69262105263158,95
1998,0.0104210526,0.0052748526,0.0128934105,4.69262105263158,95
1997,0.0104210526,0.0052748526,0.0133192526,4.69262105263158,95
1996,0.0104210526,0.0052748526,0.0130117895,4.69262105263158,95
1995,0.0104210526,0.0052748526,0.0139613684,4.69262105263158,95
1994,0.0104210526,0.0052765158,0.0129897684,4.69262105263158,95
1993,0.0104210526,0.0052765158,0.0126648947,4.69262105263158,95
1992,0.0105263158,0.0052769368,0.0132678421,4.69262105263158,95
1991,0.0105263158,0.0052769368,0.0137518421,4.69262105263158,95
1990,0.0106315789,0.0052781684,0.0132620842,4.69262105263158,95
1989,0.0106315789,0.0052781684,0.0134788947,4.69262105263158,95
1988,0.0106315789,0.0052781684,0.0146520842,4.69262105263158,95
1987,0.0106315789,0.0052781684,0.0138063789,4.69262105263158,95
1986,0.0106315789,0.0052781684,0.0140167474,4.69262105263158,95
1985,0.0106315789,0.0052781684,0.0133448947,4.69262105263158,95
1984,0.0106315789,0.0052781684,0.0133287263,4.69262105263158,95
1983,0.0106315789,0.0052781684,0.0130476842,4.69262105263158,95
1982,0.0106315789,0.0052781684,0.0129222842,4.69262105263158,95
1981,0.0106315789,0.0052781684,0.0137110632,4.69262105263158,95
1980,0.0106315789,0.0052787579,0.0134798947,4.69262105263158,95
1979,0.0107368421,0.0052824421,0.0134984842,4.69262105263158,95
1978,0.0107368421,0.0052824421,0.0144005368,4.69262105263158,95
1977,0.0107368421,0.0052824421,0.0133205474,4.69262105263158,95
1976,0.0107368421,0.0052824421,0.0133375474,4.69262105263158,95
1975,0.0107368421,0.0052884842,0.0128512211,4.69262105263158,95
1974,0.0107368421,0.0052952842,0.0137791368,4.69262105263158,95
1973,0.0106315789,0.0053002105,0.0134629579,4.69262105263158,95
1972,0.0107368421,0.0053111368,0.0140130316,4.69262105263158,95
1971,0.0107368421,0.0053174842,0.0136923684,4.69262105263158,95
1970,0.0108421053,0.0053191684,0.0135378211,4.69262105263158,95
1969,0.0108421053,0.0053191684,0.0135076211,4.69262105263158,95
1968,0.0109473684,0.0053209263,0.0141657263,4.69262105263158,95
1967,0.0109473684,0.0053355053,0.0136220737,4.69262105263158,95
1966,0.0109473684,0.0053355053,0.0138487158,4.69262105263158,95
1965,0.0111578947,0.0053439895,0.0139683263,4.69262105263158,95
1964,0.0111578947,0.0053522211,0.0145712526,4.69262105263158,95
1963,0.0110526316,0.0053558842,0.0137872421,4.69262105263158,95
1962,0.0114736842,0.0053677579,0.0146190421,4.69262105263158,95
1961,0.0114736842,0.0053677579,0.0140562000,4.69262105263158,95
1960,0.0113684211,0.0053696000,0.0145900947,4.69262105263158,95
1959,0.0111578947,0.0053811158,0.0149078947,4.69262105263158,95
1958,0.0110526316,0.0053956947,0.0145110000,4.69262105263158,95
1957,0.0111578947,0.0054134211,0.0146141158,4.69262105263158,95
1956,0.0112631579,0.0054297684,0.0142804842,4.69262105263158,95
1955,0.0111578947,0.0054471579,0.0150395474,4.69262105263158,95
1954,0.0112631579,0.0054648000,0.0151572000,4.69262105263158,95
1953,0.0112631579,0.0054780632,0.0162271158,4.69262105263158,95
1952,0.0112631579,0.0054888316,0.0159869895,4.69262105263158,95
1951,0.0116842105,0.0055072842,0.0161936316,4.69262105263158,95
1950,0.0115789474,0.0055283158,0.0160754947,4.69262105263158,95
1949,0.0113684211,0.0055349684,0.0153599474,4.69262105263158,95
1948,0.0112631579,0.0055401789,0.0155075368,4.69262105263158,95
1947,0.0112631579,0.0055469263,0.0150058000,4.69262105263158,95
1946,0.0112631579,0.0055557158,0.0138743789,4.69262105263158,95
1945,0.0111578947,0.0055783474,0.0144874737,4.69262105263158,95
1944,0.0109473684,0.0055728842,0.0138053579,4.69262105263158,95
1943,0.0108421053,0.0055658421,0.0144802105,4.69262105263158,95
1942,0.0108421053,0.0055548737,0.0146627158,4.69262105263158,95
1941,0.0108421053,0.0055389053,0.0145538000,4.69262105263158,95
1940,0.0109473684,0.0055286421,0.0143635263,4.69262105263158,95
1939,0.0107368421,0.0055045053,0.0142284000,4.692189473684212,95
1938,0.0107368421,0.0054653158,0.0143060000,4.692189473684212,95
1937,0.0106315789,0.0054457579,0.0139468316,4.692189473684212,95
1936,0.0106315789,0.0054449684,0.0134465158,4.692189473684212,95
1935,0.0106315789,0.0054454105,0.0137140105,4.692189473684212,95
1934,0.0106315789,0.0054350105,0.0145730105,4.692189473684212,95
1933,0.0106315789,0.0054066526,0.0135339684,4.692189473684212,95
1932,0.0106315789,0.0054058842,0.0139921684,4.692189473684212,95
1931,0.0106315789,0.0053994211,0.0139045474,4.692189473684212,95
1930,0.0106315789,0.0053863684,0.0132124421,4.692189473684212,95
1929,0.0106315789,0.0053814842,0.0129978421,4.692189473684212,95
1928,0.0106315789,0.0053850000,0.0137972737,4.692189473684212,95
1927,0.0106315789,0.0053718526,0.0138368526,4.692189473684212,95
1926,0.0105263158,0.0053637789,0.0133212737,4.692189473684212,95
1925,0.0105263158,0.0053620632,0.0131201579,4.692189473684212,95
1924,0.0105263158,0.0053612947,0.0141703789,4.692189473684212,95
1923,0.0104210526,0.0053676211,0.0132576421,4.690778947368422,95
1922,0.0104210526,0.0053672737,0.0138034105,4.690778947368422,95
1921,0.0104210526,0.0053496842,0.0131468947,4.690778947368422,95
1920,0.0103157895,0.0053494211,0.0135546737,4.6906,95
1919,0.0103157895,0.0053494211,0.0134264000,4.6906,95
1918,0.0103157895,0.0053286000,0.0133788105,4.6906,95
1917,0.0102105263,0.0053072421,0.0134242000,4.68981052631579,95
1916,0.0102105263,0.0053072421,0.0131720316,4.68981052631579,95
1915,0.0102105263,0.0053072421,0.0133808000,4.68981052631579,95
1914,0.0102105263,0.0053072421,0.0136084316,4.68981052631579,95
1913,0.0102105263,0.0053072421,0.0138786842,4.68981052631579,95
1912,0.0102105263,0.0053072421,0.0138654421,4.68981052631579,95
1911,0.0102105263,0.0053072421,0.0129963263,4.68981052631579,95
1910,0.0102105263,0.0053072421,0.0137594737,4.68981052631579,95
1909,0.0102105263,0.0053072421,0.0133830105,4.68981052631579,95
1908,0.0102105263,0.0053072421,0.0129863053,4.68981052631579,95
1907,0.0102105263,0.0053072421,0.0132330000,4.68981052631579,95
1906,0.0102105263,0.0053072421,0.0123372105,4.68981052631579,95
1905,0.0102105263,0.0053072421,0.0136073684,4.68981052631579,95
1904,0.0102105263,0.0053072421,0.0130067368,4.68981052631579,95
1903,0.0102105263,0.0053072421,0.0131637053,4.68981052631579,95
1902,0.0102105263,0.0053072421,0.0135613474,4.68981052631579,95
1901,0.0102105263,0.0053072421,0.0125702211,4.68981052631579,95
1900,0.0102105263,0.0053072421,0.0132865789,4.68981052631579,95
1899,0.0102105263,0.0053072421,0.0139317789,4.68981052631579,95
1898,0.0102105263,0.0053072421,0.0127474632,4.68981052631579,95
1897,0.0102105263,0.0053072421,0.0132486632,4.68981052631579,95
1896,0.0102105263,0.0053072421,0.0132414632,4.68981052631579,95
1895,0.0102105263,0.0053072421,0.0133216737,4.68981052631579,95
1894,0.0102105263,0.0053072421,0.0132768526,4.68981052631579,95
1893,0.0102105263,0.0053072421,0.0129754947,4.68981052631579,95
1892,0.0102105263,0.0053072421,0.0140138316,4.68981052631579,95
1891,0.0102105263,0.0053072421,0.0138982842,4.68981052631579,95
1890,0.0102105263,0.0053072421,0.0133696316,4.68981052631579,95
1889,0.0102105263,0.0053072421,0.0131938632,4.68981052631579,95
1888,0.0102105263,0.0053072421,0.0136581158,4.68981052631579,95
1887,0.0102105263,0.0053072421,0.0129298211,4.68981052631579,95
1886,0.0102105263,0.0053072421,0.0129545579,4.68981052631579,95
1885,0.0102105263,0.0053072421,0.0132485474,4.68981052631579,95
1884,0.0102105263,0.0053072421,0.0132096000,4.68981052631579,95
1883,0.0102105263,0.0053072421,0.0135795684,4.68981052631579,95
1882,0.0102105263,0.0053072421,0.0135819895,4.68981052631579,95
